,index,date,State,fips,colorvalue,deaths,code
0,0,2020-01-21,Washington,53,1,0,WA
1,1,2020-01-22,Washington,53,1,0,WA
2,2,2020-01-23,Washington,53,1,0,WA
3,3,2020-01-24,Illinois,17,1,0,IL
4,4,2020-01-24,Washington,53,1,0,WA
5,5,2020-01-25,California,6,1,0,CA
6,6,2020-01-25,Illinois,17,1,0,IL
7,7,2020-01-25,Washington,53,1,0,WA
8,8,2020-01-26,Arizona,4,1,0,AZ
9,9,2020-01-26,California,6,2,0,CA
10,10,2020-01-26,Illinois,17,1,0,IL
11,11,2020-01-26,Washington,53,1,0,WA
12,12,2020-01-27,Arizona,4,1,0,AZ
13,13,2020-01-27,California,6,2,0,CA
14,14,2020-01-27,Illinois,17,1,0,IL
15,15,2020-01-27,Washington,53,1,0,WA
16,16,2020-01-28,Arizona,4,1,0,AZ
17,17,2020-01-28,California,6,2,0,CA
18,18,2020-01-28,Illinois,17,1,0,IL
19,19,2020-01-28,Washington,53,1,0,WA
20,20,2020-01-29,Arizona,4,1,0,AZ
21,21,2020-01-29,California,6,2,0,CA
22,22,2020-01-29,Illinois,17,1,0,IL
23,23,2020-01-29,Washington,53,1,0,WA
24,24,2020-01-30,Arizona,4,1,0,AZ
25,25,2020-01-30,California,6,2,0,CA
26,26,2020-01-30,Illinois,17,2,0,IL
27,27,2020-01-30,Washington,53,1,0,WA
28,28,2020-01-31,Arizona,4,1,0,AZ
29,29,2020-01-31,California,6,3,0,CA
30,30,2020-01-31,Illinois,17,2,0,IL
31,31,2020-01-31,Washington,53,1,0,WA
32,32,2020-02-01,Arizona,4,1,0,AZ
33,33,2020-02-01,California,6,3,0,CA
34,34,2020-02-01,Illinois,17,2,0,IL
35,35,2020-02-01,Massachusetts,25,1,0,MA
36,36,2020-02-01,Washington,53,1,0,WA
37,37,2020-02-02,Arizona,4,1,0,AZ
38,38,2020-02-02,California,6,6,0,CA
39,39,2020-02-02,Illinois,17,2,0,IL
40,40,2020-02-02,Massachusetts,25,1,0,MA
41,41,2020-02-02,Washington,53,1,0,WA
42,42,2020-02-03,Arizona,4,1,0,AZ
43,43,2020-02-03,California,6,6,0,CA
44,44,2020-02-03,Illinois,17,2,0,IL
45,45,2020-02-03,Massachusetts,25,1,0,MA
46,46,2020-02-03,Washington,53,1,0,WA
47,47,2020-02-04,Arizona,4,1,0,AZ
48,48,2020-02-04,California,6,6,0,CA
49,49,2020-02-04,Illinois,17,2,0,IL
50,50,2020-02-04,Massachusetts,25,1,0,MA
51,51,2020-02-04,Washington,53,1,0,WA
52,52,2020-02-05,Arizona,4,1,0,AZ
53,53,2020-02-05,California,6,6,0,CA
54,54,2020-02-05,Illinois,17,2,0,IL
55,55,2020-02-05,Massachusetts,25,1,0,MA
56,56,2020-02-05,Washington,53,1,0,WA
57,57,2020-02-05,Wisconsin,55,1,0,WI
58,58,2020-02-06,Arizona,4,1,0,AZ
59,59,2020-02-06,California,6,6,0,CA
60,60,2020-02-06,Illinois,17,2,0,IL
61,61,2020-02-06,Massachusetts,25,1,0,MA
62,62,2020-02-06,Washington,53,1,0,WA
63,63,2020-02-06,Wisconsin,55,1,0,WI
64,64,2020-02-07,Arizona,4,1,0,AZ
65,65,2020-02-07,California,6,6,0,CA
66,66,2020-02-07,Illinois,17,2,0,IL
67,67,2020-02-07,Massachusetts,25,1,0,MA
68,68,2020-02-07,Washington,53,1,0,WA
69,69,2020-02-07,Wisconsin,55,1,0,WI
70,70,2020-02-08,Arizona,4,1,0,AZ
71,71,2020-02-08,California,6,6,0,CA
72,72,2020-02-08,Illinois,17,2,0,IL
73,73,2020-02-08,Massachusetts,25,1,0,MA
74,74,2020-02-08,Washington,53,1,0,WA
75,75,2020-02-08,Wisconsin,55,1,0,WI
76,76,2020-02-09,Arizona,4,1,0,AZ
77,77,2020-02-09,California,6,6,0,CA
78,78,2020-02-09,Illinois,17,2,0,IL
79,79,2020-02-09,Massachusetts,25,1,0,MA
80,80,2020-02-09,Washington,53,1,0,WA
81,81,2020-02-09,Wisconsin,55,1,0,WI
82,82,2020-02-10,Arizona,4,1,0,AZ
83,83,2020-02-10,California,6,7,0,CA
84,84,2020-02-10,Illinois,17,2,0,IL
85,85,2020-02-10,Massachusetts,25,1,0,MA
86,86,2020-02-10,Washington,53,1,0,WA
87,87,2020-02-10,Wisconsin,55,1,0,WI
88,88,2020-02-11,Arizona,4,1,0,AZ
89,89,2020-02-11,California,6,7,0,CA
90,90,2020-02-11,Illinois,17,2,0,IL
91,91,2020-02-11,Massachusetts,25,1,0,MA
92,92,2020-02-11,Washington,53,1,0,WA
93,93,2020-02-11,Wisconsin,55,1,0,WI
94,94,2020-02-12,Arizona,4,1,0,AZ
95,95,2020-02-12,California,6,7,0,CA
96,96,2020-02-12,Illinois,17,2,0,IL
97,97,2020-02-12,Massachusetts,25,1,0,MA
98,98,2020-02-12,Texas,48,1,0,TX
99,99,2020-02-12,Washington,53,1,0,WA
100,100,2020-02-12,Wisconsin,55,1,0,WI
101,101,2020-02-13,Arizona,4,1,0,AZ
102,102,2020-02-13,California,6,7,0,CA
103,103,2020-02-13,Illinois,17,2,0,IL
104,104,2020-02-13,Massachusetts,25,1,0,MA
105,105,2020-02-13,Texas,48,2,0,TX
106,106,2020-02-13,Washington,53,1,0,WA
107,107,2020-02-13,Wisconsin,55,1,0,WI
108,108,2020-02-14,Arizona,4,1,0,AZ
109,109,2020-02-14,California,6,7,0,CA
110,110,2020-02-14,Illinois,17,2,0,IL
111,111,2020-02-14,Massachusetts,25,1,0,MA
112,112,2020-02-14,Texas,48,2,0,TX
113,113,2020-02-14,Washington,53,1,0,WA
114,114,2020-02-14,Wisconsin,55,1,0,WI
115,115,2020-02-15,Arizona,4,1,0,AZ
116,116,2020-02-15,California,6,7,0,CA
117,117,2020-02-15,Illinois,17,2,0,IL
118,118,2020-02-15,Massachusetts,25,1,0,MA
119,119,2020-02-15,Texas,48,2,0,TX
120,120,2020-02-15,Washington,53,1,0,WA
121,121,2020-02-15,Wisconsin,55,1,0,WI
122,122,2020-02-16,Arizona,4,1,0,AZ
123,123,2020-02-16,California,6,7,0,CA
124,124,2020-02-16,Illinois,17,2,0,IL
125,125,2020-02-16,Massachusetts,25,1,0,MA
126,126,2020-02-16,Texas,48,2,0,TX
127,127,2020-02-16,Washington,53,1,0,WA
128,128,2020-02-16,Wisconsin,55,1,0,WI
129,129,2020-02-17,Arizona,4,1,0,AZ
130,130,2020-02-17,California,6,7,0,CA
131,131,2020-02-17,Illinois,17,2,0,IL
132,132,2020-02-17,Massachusetts,25,1,0,MA
133,133,2020-02-17,Nebraska,31,10,0,NE
134,134,2020-02-17,Texas,48,2,0,TX
135,135,2020-02-17,Washington,53,1,0,WA
136,136,2020-02-17,Wisconsin,55,1,0,WI
137,137,2020-02-18,Arizona,4,1,0,AZ
138,138,2020-02-18,California,6,7,0,CA
139,139,2020-02-18,Illinois,17,2,0,IL
140,140,2020-02-18,Massachusetts,25,1,0,MA
141,141,2020-02-18,Nebraska,31,10,0,NE
142,142,2020-02-18,Texas,48,2,0,TX
143,143,2020-02-18,Washington,53,1,0,WA
144,144,2020-02-18,Wisconsin,55,1,0,WI
145,145,2020-02-19,Arizona,4,1,0,AZ
146,146,2020-02-19,California,6,7,0,CA
147,147,2020-02-19,Illinois,17,2,0,IL
148,148,2020-02-19,Massachusetts,25,1,0,MA
149,149,2020-02-19,Nebraska,31,10,0,NE
150,150,2020-02-19,Texas,48,2,0,TX
151,151,2020-02-19,Washington,53,1,0,WA
152,152,2020-02-19,Wisconsin,55,1,0,WI
153,153,2020-02-20,Arizona,4,1,0,AZ
154,154,2020-02-20,California,6,8,0,CA
155,155,2020-02-20,Illinois,17,2,0,IL
156,156,2020-02-20,Massachusetts,25,1,0,MA
157,157,2020-02-20,Nebraska,31,11,0,NE
158,158,2020-02-20,Texas,48,2,0,TX
159,159,2020-02-20,Washington,53,1,0,WA
160,160,2020-02-20,Wisconsin,55,1,0,WI
161,161,2020-02-21,Arizona,4,1,0,AZ
162,162,2020-02-21,California,6,9,0,CA
163,163,2020-02-21,Illinois,17,2,0,IL
164,164,2020-02-21,Massachusetts,25,1,0,MA
165,165,2020-02-21,Nebraska,31,11,0,NE
166,166,2020-02-21,Texas,48,4,0,TX
167,167,2020-02-21,Washington,53,1,0,WA
168,168,2020-02-21,Wisconsin,55,1,0,WI
169,169,2020-02-22,Arizona,4,1,0,AZ
170,170,2020-02-22,California,6,9,0,CA
171,171,2020-02-22,Illinois,17,2,0,IL
172,172,2020-02-22,Massachusetts,25,1,0,MA
173,173,2020-02-22,Nebraska,31,11,0,NE
174,174,2020-02-22,Texas,48,4,0,TX
175,175,2020-02-22,Washington,53,1,0,WA
176,176,2020-02-22,Wisconsin,55,1,0,WI
177,177,2020-02-23,Arizona,4,1,0,AZ
178,178,2020-02-23,California,6,9,0,CA
179,179,2020-02-23,Illinois,17,2,0,IL
180,180,2020-02-23,Massachusetts,25,1,0,MA
181,181,2020-02-23,Nebraska,31,11,0,NE
182,182,2020-02-23,Texas,48,4,0,TX
183,183,2020-02-23,Washington,53,1,0,WA
184,184,2020-02-23,Wisconsin,55,1,0,WI
185,185,2020-02-24,Arizona,4,1,0,AZ
186,186,2020-02-24,California,6,11,0,CA
187,187,2020-02-24,Illinois,17,2,0,IL
188,188,2020-02-24,Massachusetts,25,1,0,MA
189,189,2020-02-24,Nebraska,31,12,0,NE
190,190,2020-02-24,Texas,48,10,0,TX
191,191,2020-02-24,Washington,53,5,0,WA
192,192,2020-02-24,Wisconsin,55,1,0,WI
193,193,2020-02-25,Arizona,4,1,0,AZ
194,194,2020-02-25,California,6,11,0,CA
195,195,2020-02-25,Illinois,17,2,0,IL
196,196,2020-02-25,Massachusetts,25,1,0,MA
197,197,2020-02-25,Nebraska,31,13,0,NE
198,198,2020-02-25,Texas,48,10,0,TX
199,199,2020-02-25,Utah,49,1,0,UT
200,200,2020-02-25,Washington,53,5,0,WA
201,201,2020-02-25,Wisconsin,55,1,0,WI
202,202,2020-02-26,Arizona,4,1,0,AZ
203,203,2020-02-26,California,6,26,0,CA
204,204,2020-02-26,Illinois,17,2,0,IL
205,205,2020-02-26,Massachusetts,25,1,0,MA
206,206,2020-02-26,Nebraska,31,13,0,NE
207,207,2020-02-26,Texas,48,10,0,TX
208,208,2020-02-26,Utah,49,1,0,UT
209,209,2020-02-26,Washington,53,5,0,WA
210,210,2020-02-26,Wisconsin,55,1,0,WI
211,211,2020-02-27,Arizona,4,1,0,AZ
212,212,2020-02-27,California,6,26,0,CA
213,213,2020-02-27,Illinois,17,2,0,IL
214,214,2020-02-27,Massachusetts,25,1,0,MA
